闵行区中医医院国际部,Shanghai
美年大健康黄浦分院,Shanghai
美年大健康杭州滨江店店,Hangzhou
美年大健康杭州延安路店,Hangzhou
美年大健康上海静安分院,Shanghai
美年大健康上海苏河一号分院,Shanghai
美年大健康上海浦东齐鲁分院,Shanghai
美年大健康上海浦东长航分院,Shanghai
美年大健康上海小木桥总院,Shanghai
美年大健康上海宜山分院,Shanghai
美年大健康上海天山分院,Shanghai
美华妇儿服务,Shanghai
第二军医大学附属东方肝胆医院,Shanghai
百汇馨康虹桥诊所,Shanghai
瑞金医院特需医疗保健中心,Shanghai
瑞视眼科国际患者服务部,Shanghai
瑞慈健康管理中心-静安机构,Shanghai
瑞慈健康管理中心-陆家嘴机构,Shanghai
瑞慈健康管理中心-漕河泾机构,Shanghai
瑞慈健康管理中心-松江机构,Shanghai
瑞慈健康管理中心-普陀机构,Shanghai
瑞慈健康管理中心-徐汇机构,Shanghai
瑞慈健康管理中心-张江机构,Shanghai
瑞慈健康管理中心-八佰伴机构,Shanghai
爱德尔口腔-上海德伦口腔门诊部,Shanghai
爱康齿科-上海古北分院,Shanghai
爱康国宾杭州西溪分院,Hangzhou
爱康国宾杭州滨江江南大道分院,Hangzhou
爱康国宾上海陆家嘴分院,Shanghai
爱康国宾上海西藏南路老西门分院,Shanghai
爱康国宾上海浦东八佰伴体检分院,Shanghai
爱康国宾上海望族分院（卓悦）,Shanghai
爱康国宾上海曹家渡一品分院,Shanghai
爱康国宾上海外滩延安东路分院,Shanghai
爱康国宾上海五角场万达广场分院,Shanghai
爱康国宾上海中环一品分院,Shanghai
爱康国宾上海中山公园南延安西路分院,Shanghai
爱康国宾-杭州文晖体检分院,Hangzhou
爱康君安杭州西湖杨公堤分院,Hangzhou
爱康君安上海兴国宾馆旗舰中心,Shanghai
爱尔眼科集团-上海--国际患者服务部,Shanghai
浙江绿城心血管医院-VIP,Hangzhou
浙江省人民医院 VIP 医疗中心,Hangzhou
浙江大学医学院附属邵逸夫医院国际医疗中心,Hangzhou
浙江大学医学院附属第二医院-国际医学门诊解放路院区,Hangzhou
浙江大学医学院附属第二医院-国际医学门诊,Hangzhou
树兰（杭州）医院/浙江大学国际医院,Hangzhou
杭州萧山微医门诊部,Hangzhou
杭州艾玛妇产医院,Hangzhou
杭州美华妇儿服务,Hangzhou
杭州美中宜和妇儿医院,Hangzhou
杭州瑞尔齿科-欧美中心诊所,Hangzhou
杭州瑞尔齿科--杭州大厦诊所,Hangzhou
杭州市妇产科医院,Hangzhou
杭州市余杭区第一人民医院,Hangzhou
